구분,수능 최저 등급 기준 (높은 순),대상 대학 / 학과,비고 및 메모 (선지문장/탐구/메타노트)
4개 영역 반영,국/수/영/탐(1) 4개 합 8,고려대,실질경쟁률 13:1 (수능 최저 충족시 대폭 하향)
3개 영역 반영,국/수/영/탐(평) 中 3개 합 4,경희대 한의예과,탐구 평균 반영
3개 영역 반영,국/수/영/탐(평) 中 3개 합 5,"성균관대 (글로벌리더, 글로벌경영, 글로벌경제, 자유전공)",탐구 평균 반영
3개 영역 반영,국/수/영/탐(평) 中 3개 합 5,성균관대 소프트웨어,수학 의무 반영 / 탐구 평균 반영
3개 영역 반영,국/수/영/탐(평) 中 3개 합 6,"성균관대 (글로벌융합, 인문, 사회, 경영)",탐구 평균 반영
3개 영역 반영,국/수/영/탐(평) 中 3개 합 6,"성균관대 (건설, 공학, 전기, 자연)",수학 의무 반영 / 탐구 평균 반영
3개 영역 반영,국/수/영/탐(1) 中 3개 합 5,이화여대 스크랜튼학부,탐구 1과목 반영
3개 영역 반영,국/수/영/탐(1) 中 3개 합 6,중앙대 일반형,영어 2등급 -> 1등급 간주 (1간주) / 손글씨 2합 5 극상향
3개 영역 반영,국/수/영/탐(1) 中 3개 합 7,"서강대, 한양대",손글씨: 상향 지원 카드
2개 영역 반영,국/수/영/탐(1) 中 2개 합 4,"한국외대 (LD, LT포함), 동국대 경찰행정",탐구 1과목 반영
2개 영역 반영,국/수/영/탐(평) 中 2개 합 5,경희대,탐구 평균 반영 (손글씨 동그라미)
2개 영역 반영,국/수/영/탐(1) 中 2개 합 5,"홍익대, 건국대, 동국대, 숙명여대, 세종대",탐구 1과목 반영
2개 영역 반영,국/수/영/탐(1) 中 2개 합 5,이화여대,국어 의무 반영 (★ 선지문장 난이도 있음)
2개 영역 반영,국/수/영/탐(1) 中 2개 합 5,동국대 AI융합학과,수학 의무 반영
2개 영역 반영,국/수/영/탐(1) 中 2개 합 6,"숭실대, 한국외대(글로벌), 동덕여대, 국민대, 항공대",손글씨: 약술형으로 변경 (DP 프로세스 논술)
2개 영역 반영,국/수/영/탐(1) 中 2개 합 7,"성신여대, 덕성여대",탐구 1과목 반영
1개 영역 반영,국/수/영/탐(평) 中 1개 3 이내,경희대 (체육학과),손글씨: 수체
1개 영역 반영,국/수/영/탐(1) 中 1개 3 이내,가천대,1개 영역 반영
최저 미적용 (논술100%),수능 최저 기준 미적용,"연세대, 중앙대[창의형]",재수생 X / 23전형 변형으로 기출과 유사
최저 미적용 (논술100%),수능 최저 기준 미적용,"단국대, 인하대, 아주대, 광운대, 경기대, 가톨릭대, 서울여대, 연세대(미래), 상명대",수능 최저 적용하지 않는 대학 (대학 문호가 넓음)
실질경쟁률 핵심메모,✔ 허수 지원자가 섞인 지원 경쟁률에 현혹되지 말자,전체 수험생 대상,최저 충족 시 실질 경쟁률 하향
실질경쟁률 핵심메모,✔ 수능 최저기준 충족 후의 실질경쟁률은 대폭 하향한다,전체 수험생 대상,수능 최저 충족이 1차 관문
실질경쟁률 핵심메모,✔ 수능 최저 기준을 충족한 수험생들 중 논술을 꾸준히 제대로 준비한 학생들 간의 경쟁이 진짜 실질 경쟁률이다.,프로세스 논술 핵심 메시지,진짜 실질 경쟁률의 정의
