"일자","요일","수능전후","대학명","전형명","계열_학과","면접유형","비고"
"2026-10-15(목)","목요일","수능 전 (D-35)","상명대(서울)","국가안보","국가안보학과","체력검정 및 면접","수능 1달 전 특수면접"
"2026-10-18(일)","일요일","수능 전 (D-32)","동국대","실기(국어국문문예창작)","국어국문문예창작학부","실기고사","문예창작 실기"
"2026-10-24(토)","토요일","수능 전 (D-26)","이화여대","고교추천(교과)","전 모집단위","생기부 기반 면접 20%","★ 수능 전 교과 면접 (수능납치 유의)"
"2026-10-25(일)","일요일","수능 전 (D-25)","성균관대","성과인재","스포츠과학","인적성 면접","체육 특화 면접"
"2026-10-25(일)","일요일","수능 전 (D-25)","국민대","어학특기자","어학 관련 학과","구술 면접","어학 특기자"
"2026-10-25(일)","일요일","수능 전 (D-25)","이화여대","고교추천(교과)","전 모집단위","생기부 기반 면접 20%","★ 수능 전 교과 면접"
"2026-10-31(토)","토요일","수능 전 (D-19)","고려대","사이버국방","사이버국방학과","군면접/체력검정","군 특수면접"
"2026-10-31(토)","토요일","수능 전 (D-19)","광운대","광운참빛인재I / SW","전 모집단위","서류기반 면접","수능 전 주말"
"2026-10-31(토)","토요일","수능 전 (D-19)","명지대","교과면접","인문캠퍼스","교과 면접 30%","인문계열 교과면접"
"2026-10-31(토)","토요일","수능 전 (D-19)","동덕여대","동덕창의리더","전 모집단위","면접 60% 반영","면접비중 60% 고득점 필요"
"2026-11-01(일)","일요일","수능 전 (D-18)","연세대","특기자(국제인재)","언더우드학부","영어 구술면접","국제인재 특기자"
"2026-11-01(일)","일요일","수능 전 (D-18)","성균관대","과학인재","자연/공학계열","수학/과학 제시문 면접","제시문 심층면접"
"2026-11-01(일)","일요일","수능 전 (D-18)","광운대","광운참빛인재I / SW","전 모집단위","서류기반 면접","수능 전 주말"
"2026-11-01(일)","일요일","수능 전 (D-18)","명지대","교과면접","자연캠퍼스","교과 면접 30%","자연계열 교과면접"
"2026-11-01(일)","일요일","수능 전 (D-18)","동덕여대","동덕창의리더","전 모집단위","면접 60% 반영","면접 60%"
"2026-11-07(토)","토요일","수능 직전주 (D-12)","고려대","계열적합형","인문계열","제시문 기반 심층면접","★ 수능 직전주 인문 제시문"
"2026-11-08(일)","일요일","수능 직전주 (D-11)","고려대","계열적합형","자연계열","제시문 기반 심층면접","★ 수능 직전주 자연 제시문"
"2026-11-08(일)","일요일","수능 직전주 (D-11)","성균관대","성과인재","사범대, 의예, 글로벌융합, 자유전공","인적성 및 서류기반 면접","수능 직전주 일요일"
"2026-11-19(목)","목요일","★ 2027학년도 수능일","전국 수능 고사장","2027학년도 대학수학능력시험","전 영역","수능 시험일","★ 2027학년도 수능 시행일 (2026년 11월 19일)"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","연세대","활동우수형","인문, 통합계열","제시문 기반 면접","★ 수능 이틀 뒤 (최상위권 제시문)"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","한국외대","학생부종합(면접형)","서울캠퍼스 전 학과","진로개발/협력소통 면접 (50%)","★ 외대 2단계 면접 50% 역전카드"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","이화여대","미래인재(면접형)","인문, 자연계열","생기부 기반 면접","수능 최저 미적용 학종"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","국민대","국민프런티어","자연계열","서류기반 면접","자연계열 면접"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","인하대","인하미래인재 / 지역의사","인문, 자연, 의예","서류기반 면접","수능 1주차 토요일"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","한양대(에리카)","종합(면접형)","전 모집단위","서류기반 면접","서류 기반"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","아주대","첨단융합인재","첨단융합계열","서류기반 면접","첨단학과 면접"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","덕성여대","덕성인재II","전 모집단위","서류기반 면접","서류기반"
"2026-11-21(토)","토요일","수능 후 1주차 (D+2)","성신여대","자기주도인재","인문/자연계열 일부","서류기반 면접","성신여대 면접 1차"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","연세대","활동우수형","자연계열","제시문 기반 면접","연세대 자연 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","이화여대","미래인재(면접형)","자연계열","생기부 기반 면접","이화여대 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","국민대","국민프런티어","인문계열","서류기반 면접","인문계열 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","세종대","세종인재(면접형)","전 모집단위","서류기반 면접","세종대 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","한양대","면접형(종합)","공과대, 인터컬리지","현장녹화 비대면 면접","비대면 업로드"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","아주대","ACE전형","공대, 첨단ICT","서류기반 면접","아주대 공대"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","인하대","인하미래인재","인문/자연계열","서류기반 면접","인하대 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","성신여대","자기주도인재","인문/자연계열","서류기반 면접","성신여대 면접"
"2026-11-22(일)","일요일","수능 후 1주차 (D+3)","덕성여대","덕성인재II","전 모집단위","서류기반 면접","덕성여대 면접"
"2026-11-27(금)","금요일","수능 후 2주차 (D+8)","서울대","일반전형","전 모집단위 (의약학 제외)","제시문 기반 심층면접","★ 서울대 일반 면접"
"2026-11-27(금)","금요일","수능 후 2주차 (D+8)","숭실대","SSU미래인재(면접)","전 모집단위","서류기반 면접 (50%)","금요일 평일 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","서울대","일반전형","수의예, 의예, 치의예","MMI 다중미니면접","서울대 의약학 MMI"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","서울시립대","학생부종합I(면접)","인문, 예체능계열","사고력/공적윤리 면접(50%)","★ 시립대 인문 50% 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","숙명여대","숙명인재 / SW인재","전 모집단위 / SW","서류기반 면접","숙명여대 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","서울과기대","학교생활우수 / 창의융합","전 모집단위","서류기반 면접","서울과기대 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","명지대","명지인재(면접)","인문계열 / 자연계열","서류기반 면접","명지대 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","서울여대","바롬인재 / SW융합","전 모집단위","서류기반 면접 (50%)","서울여대 면접 50%"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","숭실대","SW우수자","소프트웨어학부","서류기반 면접","숭실대 SW 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","아주대","ACE전형","소프트웨어, 자연과학, 간호대","서류기반 면접","아주대 면접"
"2026-11-28(토)","토요일","수능 후 2주차 (D+9)","성신여대","자기주도인재","인문/자연계열 2차","서류기반 면접","성신여대 면접 2차"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","연세대","국제형","국내고/해외고 전형","영어 제시문 기반 면접","연세대 국제형 면접"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","서울시립대","학생부종합I(면접)","자연계열","사고력/공적윤리 면접(50%)","시립대 자연 면접"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","숙명여대","숙명인재(면접형)","전 모집단위","서류기반 면접","숙명여대 면접"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","아주대","ACE전형","경영, 언론, 사회과학","서류기반 면접","아주대 인문/사회"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","명지대","명지인재(면접)","전 모집단위","서류기반 면접","명지대 면접"
"2026-11-29(일)","일요일","수능 후 2주차 (D+10)","성신여대","자기주도인재","인문/자연계열","서류기반 면접","성신여대 2차"
"2026-12-04(금)","금요일","수능 후 3주차 (D+15)","서울대","지역균형","전 모집단위 (의약학 제외)","서류 기반 면접 30%","★ 서울대 지균 면접"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","서울대","지역균형","수의예, 의예","서류/적성 기반 면접","서울대 지균 의약학"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","건국대","KU자기추천","인문, 자연계열","서류 기반 면접 30%","★ 건국대 자기추천 토"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","경희대","네오르네상스","인문, 자연계열","인성/전공적합성 면접","★ 경희대 네오 1차"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","중앙대","CAU탐구형 / 성장형","전 모집단위","학업준비도 및 전공적성","★ 중앙대 탐구형/성장형"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","한양대","면접형(종합)","의예과","제시문 기반 심층면접","한양대 의예 면접"
"2026-12-05(토)","토요일","수능 후 3주차 (D+16)","단국대","DKU인재 / 창업인재","인문계열, 창업인재","서류기반 면접","단국대 인문 면접"
"2026-12-06(일)","일요일","수능 후 3주차 (D+17)","건국대","KU자기추천","인문, 자연계열","서류 기반 면접 30%","★ 건국대 자기추천 일"
"2026-12-06(일)","일요일","수능 후 3주차 (D+17)","경희대","네오르네상스","인문, 자연계열","인성/전공적합성 면접","★ 경희대 네오 2차"
