"대학명","전형명","전형구분","모집인원","지원자격","단계1","단계2","최저학력기준","면접고사일","면접유형","특이사항"
"서울대","지역균형","교과/종합","523(무전공20)","고3(추천2명)","서류100(3배수)","서류70+면접30","국,수,영,탐(2) 중 3개 합 7 이내","2026-12-04(금) [전모집단위] / 12-05(토) [수의예,의예]","서류기반 면접","과탐 I+I 가능, 동일과목 I+II 미인정"
"서울대","일반전형","종합전형","1,529(무전공48)","제한없음","서류100(2배수)","서류50+면접50(사범대 교직20)","없음","2026-11-27(금) [전모집단위] / 11-28(토) [수의예,의예,치의예]","제시문 기반 면접","의약학계열 적성/인성 면접"
"연세대","추천형","교과전형","512(무전공39)","고3(추천10명)","교과100","-","인문 2개 합 4 / 자연 2개 합 5 (국/수 포함)","-","면접없음","활동우수형과 중복지원 불가"
"연세대","활동우수형","종합전형","766(무전공49)","제한없음","서류100(4배수)","서류60+면접40","인문 2개 합 4 / 자연 2개 합 5 (국/수 포함)","2026-11-21(토) [인문,통합] / 11-22(일) [자연]","제시문 기반 면접","추천형과 중복지원 불가"
"연세대","국제형","종합전형","254(국내175/해외79)","국내고/해외,검정","서류100(5배수)","서류60+면접40","국,수 중 1개 포함 2개 합 5 (영어2등급)","2026-11-29(일)","제시문 기반 면접 (영어제시문)","국내고/해외고 전형 통합"
"고려대","학교추천","교과전형","650(무전공18)","고3(추천12명)","교과90+서류10","-","국,수,영,탐(1) 3개 영역 합 7 이내","-","면접없음","학업우수형과 중복지원 불가"
"고려대","학업우수형","종합전형","903(무전공31)","제한없음","서류100","-","국,수,영,탐(1) 4개 영역 합 8 이내","-","면접없음 (서류100)","4개 합 8 최저 충족 시 실질경쟁률 급감"
"고려대","계열적합형","종합전형","523","제한없음","서류100(5배수)","서류60+면접40","없음","2026-11-07(토) [인문] / 11-08(일) [자연]","제시문 기반 심층면접","수능 최저 미적용, 제시문 난이도 높음"
"서강대","지역균형","교과전형","180(무전공20)","고3(추천20명)","교과100(정량90+성취도10)","-","국,수,영,탐(1) 중 3개 각 3등급 이내","-","면접없음","추천인원 20명 제한"
"서강대","학생부종합(일반I)","종합전형","494(무전공25)","제한없음","서류100","-","없음","-","면접없음 (서류100)","수능 최저 미적용 서류 100%"
"서강대","학생부종합(일반II)","종합전형","74(무전공50)","제한없음","서류100","-","없음","-","면접없음 (서류100)","무전공 50명 신설 모집"
"성균관대","학교장추천","교과전형","419(무전공20)","재수생 가능(추천무제한)","교과100(공통70+진로20+정성10)","-","국,수,영,탐(2) 중 3개 등급 합 7 이내","-","면접없음","2027 추천 제한 전면 폐지, 정성 10% 반영"
