"학년","학기","교과","과목","학점수","원점수","과목평균","표준편차","성취도","수강자수","석차등급","구분"
"1학년","1학기","국어","국어","4","75","77.7","11.5","C","316","6","석차등급"
"1학년","1학기","수학","수학","4","71","75.9","11.8","C","316","6","석차등급"
"1학년","1학기","영어","영어","4","57","69","18.5","E","316","6","석차등급"
"1학년","1학기","체육","체육","1","","","","A","","","예체능"
"1학년","1학기","기술가정","기술가정","2","74","78.9","13.3","C","215","6","석차등급"
"1학년","1학기","사회","통합사회","3","87","80.6","14.3","B","316","5","석차등급"
"1학년","1학기","과학","통합과학","4","80","75.8","17.7","B","316","5","석차등급"
"1학년","1학기","과학","과학탐구실험","1","93","92.8","12.7","A","316","","성취도"
"1학년","1학기","예술","음악","1","","","","A","","","예체능"
"1학년","1학기","예술","미술","2","","","","A","","","예체능"
"1학년","1학기","한국사","한국사","3","86","75.2","13.4","B","316","4","석차등급"
"1학년","2학기","국어","국어","4","77","80.3","12.2","C","307","6","석차등급"
"1학년","2학기","수학","수학","4","66","71","12","D","307","6","석차등급"
"1학년","2학기","영어","영어","4","71","70.1","16.6","C","307","5","석차등급"
"1학년","2학기","체육","체육","1","","","","B","","","예체능"
"1학년","2학기","기술가정","기술가정","2","78","76.8","13.3","C","210","5","석차등급"
"1학년","2학기","사회","통합사회","3","86","78.8","16.2","B","307","5","석차등급"
"1학년","2학기","과학","통합과학","4","82","77.4","17.7","B","307","5","석차등급"
"1학년","2학기","과학","과학탐구실험","1","93","95.2","9.4","A","307","","성취도"
"1학년","2학기","예술","음악","1","","","","A","","","예체능"
"1학년","2학기","예술","미술","2","","","","B","","","예체능"
"1학년","2학기","한국사","한국사","3","78","74.9","14.2","C","307","5","석차등급"
"2학년","1학기","수학","수학Ⅰ","4","70","70.2","8.3","C","295","5","석차등급"
"2학년","1학기","영어","영어Ⅰ","3","55","71.2","17.6","E","295","6","석차등급"
"2학년","1학기","과학","지구과학Ⅰ","2","71","71.8","19","C","132","5","석차등급"
"2학년","1학기","과학","화학Ⅰ","3","51","69.1","15.3","E","176","7","석차등급"
"2학년","1학기","수학","확률과통계","2","66","71.6","14.9","D","265","6","석차등급"
"2학년","1학기","과학","생명과학Ⅰ","2","68","79.3","13.3","D","157","7","석차등급"
"2학년","1학기","외국어","프랑스어Ⅰ","2","59","74","15.3","E","115","7","석차등급"
"2학년","1학기","국어","언어와매체","3","75","76.9","15.2","C","295","6","석차등급"
"2학년","1학기","국어","고전읽기","2","68","74.4","","B","287","","진로선택"
"2학년","2학기","과학","지구과학Ⅰ","2","79","68","20.4","C","132","4","석차등급"
"2학년","2학기","과학","화학Ⅰ","3","54","68.4","16.4","E","176","6","석차등급"
"2학년","2학기","수학","확률과통계","2","44","65","16.3","E","264","7","석차등급"
"2학년","2학기","과학","생명과학Ⅰ","2","53","68.3","11.4","E","157","7","석차등급"
"2학년","2학기","외국어","프랑스어Ⅰ","2","55","70.5","16.5","E","114","6","석차등급"
"2학년","2학기","국어","고전읽기","2","68","73.2","","B","285","","진로선택"
"2학년","2학기","수학","수학Ⅱ","4","72","71.7","10","C","292","5","석차등급"
"2학년","2학기","영어","영어독해와작문","3","66","69.1","17.2","D","292","5","석차등급"
"2학년","2학기","국어","화법과작문","3","70","75.9","15.6","C","292","6","석차등급"
"3학년","1학기","국어","문학","4","58","62.4","20.7","E","293","6","석차등급"
"3학년","1학기","수학","미적분","3","17","43.1","21.6","E","148","7","석차등급"
"3학년","1학기","영어","영어Ⅱ","4","32","56.2","21.8","E","293","7","석차등급"
"3학년","1학기","수학","심화수학Ⅰ","2","65","66.4","","B","163","","진로선택"
"3학년","1학기","사회","사회문제탐구","2","80","85.6","","A","293","","진로선택"
"3학년","1학기","과학","생명과학Ⅱ","3","62","74.6","","B","131","","진로선택"
"3학년","1학기","과학","지구과학Ⅱ","3","65","75.4","","B","99","","진로선택"
"3학년","1학기","과학","생활과과학","1","91","93.3","","A","293","","진로선택"
"3학년","1학기","국어","고전문학감상","2","62","68.5","","B","293","","진로선택"
"3학년","1학기","과학","인공지능기초","2","70","74.4","","B","221","","진로선택"
