시험 구분,과목명,원 성적 (표준점수),수능 예측 (표준점수),원 성적 (백분위),수능 예측 (백분위),원 성적 (등급),수능 예측 (등급)
3월 학력평가 (3.24),국어(언어와매체),128,126,91.18,89,2등급,2등급
3월 학력평가 (3.24),수학(확률과통계),111,105,66.23,59,4등급,5등급
3월 학력평가 (3.24),지구과학I,73,72,98.24,97,1등급,1등급
3월 학력평가 (3.24),사회문화,69,66,95.82,92,1등급,2등급
6월 모의평가 (6.4),국어(언어와매체),120,119,82.00,80,3등급,3등급
6월 모의평가 (6.4),수학(확률과통계),114,112,66.00,62,4등급,4등급
6월 모의평가 (6.4),사회문화,61,60,83.00,80,3등급,3등급
6월 모의평가 (6.4),세계지리,49,48,51.00,47,5등급,5등급
7월 학력평가 (7.8),국어(언어와매체),110,106,64.13,57,4등급,5등급
7월 학력평가 (7.8),수학(확률과통계),123,120,83.10,78,3등급,3등급
7월 학력평가 (7.8),세계지리,49,47,55.62,49,5등급,5등급
7월 학력평가 (7.8),사회문화,61,59,82.91,76,3등급,3등급
